name	year	gross	runtime	genre	imdb	metascore	director	votes	title_length	genre_num
Modern Times	1936	163245	87	Comedy	8.5	96	Charles Chaplin	217881	12	6
City Lights	1931	19181	87	Comedy	8.5	99	Charles Chaplin	167839	11	6
Capharnaüm	2018	1661096	126	Drama	8.4	75	Nadine Labaki	62635	10	1
Kimi no na wa.	2016	5017246	106	Animation	8.4	79	Makoto Shinkai	194838	14	8
Spider-Man: Into the Spider-Verse	2018	190241310	117	Animation	8.4	87	Bob Persichetti	375110	33	8
Avengers: Endgame	2019	858373000	181	Action	8.4	78	Anthony Russo	809955	17	3
Avengers: Infinity War	2018	678815482	149	Action	8.4	68	Anthony Russo	834477	22	3
Coco	2017	209726015	105	Animation	8.4	81	Lee Unkrich	384171	4	8
Django Unchained	2012	162805434	165	Drama	8.4	81	Quentin Tarantino	1357682	16	1
The Dark Knight Rises	2012	448139099	164	Action	8.4	78	Christopher Nolan	1516346	21	3
3 Idiots	2009	6532908	170	Comedy	8.4	67	Rajkumar Hirani	344445	8	6
WALL·E	2008	223808164	98	Animation	8.4	95	Andrew Stanton	999790	6	8
The Lives of Others	2006	11286112	137	Drama	8.4	89	Florian Henckel von Donnersmarck	358685	19	1
Oldeuboi	2003	707481	101	Action	8.4	77	Chan-wook Park	515451	8	3
Memento	2000	25544867	113	Mystery	8.4	80	Christopher Nolan	1125712	7	10
Mononoke-hime	1997	2375308	134	Animation	8.4	76	Hayao Miyazaki	343171	13	8
Raiders of the Lost Ark	1981	248159971	115	Action	8.4	85	Steven Spielberg	884112	23	3
The Shining	1980	44017374	146	Drama	8.4	66	Stanley Kubrick	898237	11	1
Apocalypse Now	1979	83471511	147	Drama	8.4	94	Francis Ford Coppola	606398	14	1
Alien	1979	78900000	117	Horror	8.4	89	Ridley Scott	787806	5	9
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	275902	95	Comedy	8.4	97	Stanley Kubrick	450474	68	6
Rear Window	1954	36764313	112	Mystery	8.4	100	Alfred Hitchcock	444074	11	10
1917	2019	159227644	119	Drama	8.3	78	Sam Mendes	425844	4	1
Jagten	2012	687185	115	Drama	8.3	77	Thomas Vinterberg	281623	6	1
Jodaeiye Nader az Simin	2011	7098492	123	Drama	8.3	95	Asghar Farhadi	220002	23	1
Incendies	2010	6857096	131	Drama	8.3	80	Denis Villeneuve	150023	9	1
Inglourious Basterds	2009	120540719	153	Adventure	8.3	69	Quentin Tarantino	1267869	20	7
Eternal Sunshine of the Spotless Mind	2004	34400301	108	Drama	8.3	89	Michel Gondry	911664	37	1
Amélie	2001	33225499	122	Comedy	8.3	69	Jean-Pierre Jeunet	703810	6	6
Snatch	2000	30328156	104	Comedy	8.3	55	Guy Ritchie	782001	6	6
Requiem for a Dream	2000	3635482	102	Drama	8.3	68	Darren Aronofsky	766870	19	1
American Beauty	1999	130096601	122	Drama	8.3	84	Sam Mendes	1069738	15	1
Good Will Hunting	1997	138433435	126	Drama	8.3	70	Gus Van Sant	861606	17	1
Bacheha-Ye aseman	1997	933933	89	Drama	8.3	77	Majid Majidi	65341	17	1
Toy Story	1995	191796233	81	Animation	8.3	95	John Lasseter	887429	9	8
Braveheart	1995	75600000	178	Biography	8.3	68	Mel Gibson	959181	10	4
Reservoir Dogs	1992	2832029	99	Crime	8.3	79	Quentin Tarantino	918562	14	2
Full Metal Jacket	1987	46357676	116	Drama	8.3	76	Stanley Kubrick	675146	17	1
Aliens	1986	85160248	137	Action	8.3	84	James Cameron	652719	6	3
Amadeus	1984	51973029	160	Biography	8.3	88	Milos Forman	369007	7	4
Scarface	1983	45598982	170	Crime	8.3	65	Brian De Palma	740911	8	2
Star Wars: Episode VI - Return of the Jedi	1983	309125409	131	Action	8.3	58	Richard Marquand	950470	42	3
Das Boot	1981	11487676	149	Adventure	8.3	86	Wolfgang Petersen	231855	8	7
Taxi Driver	1976	28262574	114	Crime	8.3	94	Martin Scorsese	724636	11	2
The Sting	1973	159600000	129	Comedy	8.3	83	George Roy Hill	241513	9	6
A Clockwork Orange	1971	6207725	136	Crime	8.3	77	Stanley Kubrick	757904	18	2
2001: A Space Odyssey	1968	56954992	149	Adventure	8.3	84	Stanley Kubrick	603517	21	7
Per qualche dollaro in più	1965	1.5e+07	132	Western	8.3	74	Sergio Leone	232772	26	5
Lawrence of Arabia	1962	44824144	228	Adventure	8.3	100	David Lean	268085	18	7
The Apartment	1960	18600000	125	Comedy	8.3	94	Billy Wilder	164363	13	6
North by Northwest	1959	13275000	136	Adventure	8.3	98	Alfred Hitchcock	299198	18	7
Vertigo	1958	3200000	128	Mystery	8.3	100	Alfred Hitchcock	364368	7	10
Singin' in the Rain	1952	8819028	103	Comedy	8.3	99	Stanley Donen	218957	19	6
Double Indemnity	1944	5720000	107	Crime	8.3	95	Billy Wilder	143525	16	2
Citizen Kane	1941	1585634	119	Drama	8.3	100	Orson Welles	403351	12	1
Metropolis	1927	1236166	153	Drama	8.3	98	Fritz Lang	159992	10	1
Green Book	2018	85080171	130	Biography	8.2	69	Peter Farrelly	377884	10	4
Three Billboards Outside Ebbing, Missouri	2017	54513740	115	Comedy	8.2	88	Martin McDonagh	432610	41	6
Mandariinid	2013	144501	87	Drama	8.2	73	Zaza Urushadze	40382	11	1
El secreto de sus ojos	2009	6391436	129	Drama	8.2	80	Juan José Campanella	193217	22	1
Warrior	2011	13657115	140	Action	8.2	71	Gavin O'Connor	435950	7	3
Shutter Island	2010	128012934	138	Mystery	8.2	63	Martin Scorsese	1129894	14	10
Up	2009	293004164	96	Animation	8.2	88	Pete Docter	935507	2	8
The Wolf of Wall Street	2013	116900694	180	Biography	8.2	75	Martin Scorsese	1187498	23	4
Chak De! India	2007	1113541	153	Drama	8.2	68	Shimit Amin	74129	14	1
There Will Be Blood	2007	40222514	158	Drama	8.2	93	Paul Thomas Anderson	517359	19	1
Pan's Labyrinth	2006	37634615	118	Drama	8.2	98	Guillermo del Toro	618623	15	1
Toy Story 3	2010	415004880	103	Animation	8.2	92	Lee Unkrich	757032	11	8
V for Vendetta	2005	70511035	132	Action	8.2	62	James McTeigue	1032749	14	3
Batman Begins	2005	206852432	140	Action	8.2	70	Christopher Nolan	1308302	13	3
Der Untergang	2004	5509040	156	Biography	8.2	82	Oliver Hirschbiegel	331308	13	4
Hauru no ugoku shiro	2004	4711096	119	Animation	8.2	80	Hayao Miyazaki	333915	20	8
A Beautiful Mind	2001	170742341	135	Biography	8.2	72	Ron Howard	848920	16	4
Lock, Stock and Two Smoking Barrels	1998	3897569	107	Action	8.2	66	Guy Ritchie	535216	35	3
L.A. Confidential	1997	64616940	138	Crime	8.2	90	Curtis Hanson	531967	17	2
Heat	1995	67436818	170	Crime	8.2	76	Michael Mann	577113	4	2
Casino	1995	42438300	178	Crime	8.2	73	Martin Scorsese	466276	6	2
Unforgiven	1992	101157447	130	Drama	8.2	85	Clint Eastwood	375935	10	1
Indiana Jones and the Last Crusade	1989	197171806	127	Action	8.2	65	Steven Spielberg	692366	34	3
Tonari no Totoro	1988	1105564	86	Animation	8.2	86	Hayao Miyazaki	291180	16	8
Die Hard	1988	83008852	132	Action	8.2	72	John McTiernan	793164	8	3
Ran	1985	4135750	162	Action	8.2	96	Akira Kurosawa	112505	3	3
Raging Bull	1980	23383987	129	Biography	8.2	89	Martin Scorsese	321860	11	4
Monty Python and the Holy Grail	1975	1229197	91	Adventure	8.2	91	Terry Gilliam	500875	31	7
